,Incident No.,View,Unit,Zone,Function,Category,Incident Nature,Incident Type,Description,Incident Date,Reporting Date,Status,Debit Note Status
23,23,FAR,SEZ,Material Zone,Physical Security,Others,Emergency response,Leakage / Spillage,Emergency responseLeakage / Spillage,2022-02-26 00:00:00,2022-02-26,Approved By Site Head,
24,24,FAR,PCG,DTA PCG,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-25 00:00:00,2022-02-25,Approved By Site Head,
25,25,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Safety violation,Prohibited Material,Others,Prohibited MaterialOthers,2022-02-25 00:00:00,2022-02-25,Approved By Site Head,
26,26,FAR,MTF,A2O Gagwa,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2022-02-25 00:00:00,2022-02-25,Approved By Site Head,
27,27,FAR,DTA,A-Zone,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2022-02-25 00:00:00,2022-02-25,Approved By Site Head,
28,28,FAR,DTA,B-Zone,Physical Security,Others,IR issue,Others,IR issueOthers,2022-02-25 00:00:00,2022-02-25,Approved By Site Head,
29,29,FAR,DTA,Reliance Green,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-25 00:00:00,2022-02-25,Approved By Site Head,
30,30,FAR,DTA,Reliance Green,Physical Security,Security,Theft,Attempt,TheftAttempt,2022-02-25 00:00:00,2022-02-25,Approved By Site Head,
31,31,FAR,C2,IIR,Physical Security,Others,Emergency response,Others,Emergency responseOthers,2022-02-24 00:00:00,2022-02-24,Approved By Site Head,
32,32,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2022-02-24 00:00:00,2022-02-24,Approved By Site Head,
33,33,FAR,DTA,C-Zone,Traffic,Traffic incident,Near miss,,,2022-02-24 00:00:00,2022-02-24,Approved By Site Head,
34,34,FAR,MTF,Off Shore,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-23 00:00:00,2022-02-23,Approved By Site Head,
35,35,FAR,C2,C&Q,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2022-02-23 00:00:00,2022-02-23,Approved By Site Head,
36,36,FAR,MTF,MTF OSBL,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-23 00:00:00,2022-02-23,Approved By Site Head,
37,37,FAR,DTA,Reliance Green,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2022-02-23 00:00:00,2022-02-23,Approved By Site Head,
38,38,FAR,DTA,Reliance Green,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2022-02-23 00:00:00,2022-02-23,Not Approved,
39,39,FAR,SEZ,D Zone,Physical Security,Security,Access control related,Proxy Punching,Access control relatedProxy Punching,2022-02-23 00:00:00,2022-02-23,Approved By Site Head,
40,40,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-23 00:00:00,2022-02-23,Approved By Zone IC,
41,41,FAR,DTA,B-Zone,Physical Security,Security,Pilferage,Solid Material,PilferageSolid Material,2022-02-23 00:00:00,2022-02-23,Approved By Site Head,
42,42,FAR,SEZ,Material Zone,Physical Security,Others,Worksite accidents,MTC / RWC,Worksite accidentsMTC / RWC,2022-02-22 00:00:00,2022-02-22,Approved By Site Head,
43,43,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-22 00:00:00,2022-02-22,Not Approved,
44,44,FAR,MTF,MTF OSBL,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2022-02-22 00:00:00,2022-02-22,Approved By Site Head,
45,45,FAR,DTA,A-Zone,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2022-02-22 00:00:00,2022-02-22,Approved By Site Head,
46,46,FAR,C2,C2 Material,Traffic,Traffic incident,Near miss,,,2022-02-21 00:00:00,2022-02-21,Approved By Site Head,
47,47,FAR,DTA,B-Zone,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-21 00:00:00,2022-02-22,Approved By Site Head,
48,48,FAR,SEZ,Z-RTF,Physical Security,Others,Near Miss,,,2022-02-21 00:00:00,2022-02-21,Approved By Site Head,
49,49,FAR,MTF,MTF OSBL,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2022-02-21 00:00:00,2022-02-21,Approved By Site Head,
50,50,FAR,SEZ,D Zone,Physical Security,Others,Near Miss,,,2022-02-21 00:00:00,2022-02-21,Approved By Site Head,
51,51,FAR,SEZ,D Zone,Physical Security,Others,Near Miss,,,2022-02-21 00:00:00,2022-02-21,Approved By Site Head,
52,52,FAR,SEZ,D Zone,Physical Security,Safety violation,Prohibited Material,Others,Prohibited MaterialOthers,2022-02-20 00:00:00,2022-02-20,Approved By Site Head,
53,53,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Safety violation,Prohibited Material,Tobacco,Prohibited MaterialTobacco,2022-02-20 00:00:00,2022-02-20,Approved By Site Head,
54,54,FAR,DTA,Reliance Green,Physical Security,Security,Access control related,Unauthorized Entry,Access control relatedUnauthorized Entry,2022-02-20 00:00:00,2022-02-20,Approved By Site Head,
55,55,FAR,Off Site,Off Site,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-20 00:00:00,2022-02-20,Approved By Zone IC,
56,56,FAR,DTA,B-Zone,Automation,Security,Damage to company property,camera,Damage to company propertycamera,2022-02-19 00:00:00,2022-02-19,Approved By Site Head,
57,57,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Safety violation,Prohibited Material,Others,Prohibited MaterialOthers,2022-02-19 00:00:00,2022-02-19,Approved By Site Head,
58,58,FAR,PCG,DTA PCG,Physical Security,Security,Mock Drill,Plant Mock Drill - Level 1,Mock DrillPlant Mock Drill - Level 1,2022-02-19 00:00:00,2022-02-19,Approved By Site Head,
59,59,FAR,DTA,Reliance Green,Traffic,Traffic incident,Near miss,,,2022-02-19 00:00:00,2022-02-19,Approved By Site Head,
60,60,FAR,DTA,Reliance Green,Traffic,Traffic incident,Near miss,,,2022-02-19 00:00:00,2022-02-19,Approved By Site Head,
61,61,FAR,MTF,On Shore,Traffic,Traffic incident,Others,,,2022-02-19 00:00:00,2022-02-19,Approved By Site Head,
62,62,FAR,Off Site,Off Site,Physical Security,Others,IR issue,Others,IR issueOthers,2022-02-19 00:00:00,2022-02-19,Approved By Zone IC,
63,63,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Safety violation,Prohibited Material,Others,Prohibited MaterialOthers,2022-02-18 00:00:00,2022-02-18,Approved By Site Head,
64,64,FAR,PCG,SEZ PCG,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-18 00:00:00,2022-02-18,Approved By Site Head,
65,65,FAR,PCG,SEZ PCG,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-18 00:00:00,2022-02-18,Approved By Site Head,
66,66,FAR,Off Site,Off Site,Traffic,Traffic incident,Damaging property,,,2022-02-18 00:00:00,2022-02-18,Not Approved,
67,67,FAR,MTF,MTF OSBL,Traffic,Traffic incident,Near miss,,,2022-02-18 00:00:00,2022-02-18,Approved By Site Head,
68,68,FAR,PCG,DTA PCG,Traffic,Traffic incident,Damaging property,,,2022-02-18 00:00:00,2022-02-18,Approved By Site Head,
69,69,FAR,SEZ,D Zone,Physical Security,Security,Special Observations / Night Round,Unauthorized Photography,Special Observations / Night RoundUnauthorized Photography,2022-02-17 00:00:00,2022-02-17,Approved By Site Head,
70,70,FAR,Off Site,Off Site,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2022-02-17 00:00:00,2022-02-17,Not Approved,
71,71,FAR,SEZ,D Zone,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2022-02-17 00:00:00,2022-02-17,Approved By Site Head,
72,72,FAR,DTA,Reliance Green,Physical Security,Security,Alcohol,Recovered,AlcoholRecovered,2022-02-17 00:00:00,2022-02-17,Approved By Site Head,
73,73,FAR,DTA,C-Zone,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2022-02-17 00:00:00,2022-02-17,Approved By Site Head,
74,74,FAR,SEZ,Material Zone,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2022-02-16 00:00:00,2022-02-16,Approved By Site Head,
75,75,FAR,DTA,Reliance Green,Physical Security,Others,Emergency response,Others,Emergency responseOthers,2022-02-16 00:00:00,2022-02-16,Approved By Site Head,
76,76,FAR,DTA,Reliance Green,Physical Security,Security,Theft,Reported,TheftReported,2022-02-16 00:00:00,2022-02-16,Approved By Site Head,
77,77,FAR,DTA,Reliance Green,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2022-02-16 00:00:00,2022-02-16,Approved By Site Head,
78,78,FAR,C2,C&Q,Physical Security,Security,Access control related,Unauthorized Entry,Access control relatedUnauthorized Entry,2022-02-16 00:00:00,2022-02-16,Approved By Site Head,
79,79,FAR,MTF,MTF OSBL,Physical Security,Safety violation,Prohibited Material,Tobacco,Prohibited MaterialTobacco,2022-02-16 00:00:00,2022-02-16,Approved By Site Head,
80,80,FAR,DTA,Reliance Green,Physical Security,Security,Theft,Reported,TheftReported,2022-02-16 00:00:00,2022-02-16,Approved By Site Head,
81,81,FAR,PCG,SEZ PCG,Physical Security,Others,Emergency response,Others,Emergency responseOthers,2022-02-16 00:00:00,2022-02-16,Approved By Site Head,
82,82,FAR,C2,C2 Material,Physical Security,Security,Alcohol,Recovered,AlcoholRecovered,2022-02-15 00:00:00,2022-02-15,Approved By Site Head,
83,83,FAR,DTA,Reliance Green,Traffic,Traffic incident,Near miss,,,2022-02-15 00:00:00,2022-02-15,Approved By Site Head,
84,84,FAR,DTA,A-Zone,Automation,Security,Damage to company property,Barrier,Damage to company propertyBarrier,2022-02-15 00:00:00,2022-02-15,Approved By Site Head,
85,85,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2022-02-15 00:00:00,2022-02-15,Approved By Site Head,
86,86,FAR,DTA,B-Zone,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2022-02-15 00:00:00,2022-02-15,Approved By Site Head,
87,87,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Theft,Reported,TheftReported,2022-02-14 00:00:00,2022-02-14,Approved By Site Head,
88,88,FAR,PCG,SEZ PCG,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2022-02-14 00:00:00,2022-02-14,Approved By Site Head,
89,89,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Alcohol,Recovered,AlcoholRecovered,2022-02-14 00:00:00,2022-02-14,Approved By Site Head,
90,90,FAR,DTA,C-Zone,Physical Security,Security,Access control related,Escape/ abscond,Access control relatedEscape/ abscond,2022-02-14 00:00:00,2022-02-14,Approved By Site Head,
91,91,FAR,MTF,MTF OSBL,Physical Security,Security,Access control related,Escape/ abscond,Access control relatedEscape/ abscond,2022-02-14 00:00:00,2022-02-14,Approved By Site Head,
92,92,FAR,DTA,Reliance Green,Physical Security,Security,Theft,Attempt,TheftAttempt,2022-02-14 00:00:00,2022-02-14,Approved By Site Head,
93,93,FAR,SEZ,Material Zone,Physical Security,Safety violation,Carrying inflammable material,Ligter,Carrying inflammable materialLigter,2022-02-13 00:00:00,2022-02-13,Approved By Site Head,
94,94,FAR,Off Site,Off Site,Physical Security,Security,Access control related,Escape/ abscond,Access control relatedEscape/ abscond,2022-02-13 00:00:00,2022-02-13,Approved By Zone IC,
95,95,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Alcohol,Recovered,AlcoholRecovered,2022-02-13 00:00:00,2022-02-13,Approved By Site Head,
96,96,FAR,SEZ,Material Zone,Physical Security,Safety violation,Carrying inflammable material,Others,Carrying inflammable materialOthers,2022-02-13 00:00:00,2022-02-13,Approved By Site Head,
97,97,FAR,PCG,SEZ PCG,Physical Security,Others,IR issue,Others,IR issueOthers,2022-02-12 00:00:00,2022-02-12,Approved By Site Head,
98,98,FAR,DTA,A-Zone,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2022-02-12 00:00:00,2022-02-12,Approved By Site Head,
99,99,FAR,SEZ,Material Zone,Physical Security,Others,Near Miss,,,2022-02-12 00:00:00,2022-02-12,Approved By Site Head,
100,100,FAR,MTF,MTF OSBL,Physical Security,Safety violation,Prohibited Material,Others,Prohibited MaterialOthers,2022-02-12 00:00:00,2022-02-12,Approved By Site Head,
101,101,FAR,SEZ,D Zone,Physical Security,Others,Worksite accidents,LWC,Worksite accidentsLWC,2022-02-12 00:00:00,2022-02-12,Approved By Site Head,
102,102,FAR,DTA,A-Zone,Traffic,Traffic incident,Near miss,,,2022-02-11 00:00:00,2022-02-11,Approved By Site Head,
103,103,FAR,Off Site,Off Site,Traffic,Traffic incident,Damaging property,,,2022-02-11 00:00:00,2022-02-11,Approved By Site Head,
104,104,FAR,SEZ,Material Zone,Physical Security,Safety violation,Carrying inflammable material,Ligter,Carrying inflammable materialLigter,2022-02-11 00:00:00,2022-02-11,Approved By Site Head,
105,105,FAR,Off Site,Off Site,Traffic,Traffic incident,Damaging property,,,2022-02-11 00:00:00,2022-02-11,Approved By Site Head,
106,106,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Alcohol,Recovered,AlcoholRecovered,2022-02-11 00:00:00,2022-02-11,Approved By Site Head,
107,107,FAR,DTA,Reliance Green,Physical Security,Security,Theft,Attempt,TheftAttempt,2022-02-11 00:00:00,2022-02-11,Approved By Site Head,
108,108,FAR,SEZ,Material Zone,Physical Security,Safety violation,Carrying inflammable material,Match box,Carrying inflammable materialMatch box,2022-02-11 00:00:00,2022-02-11,Approved By Site Head,
109,109,FAR,SEZ,Material Zone,Physical Security,Safety violation,Carrying inflammable material,Ligter,Carrying inflammable materialLigter,2022-02-11 00:00:00,2022-02-11,Approved By Site Head,
110,110,FAR,DTA,Reliance Green,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-10 00:00:00,2022-02-10,Approved By Site Head,
111,111,FAR,SEZ,Material Zone,Physical Security,Safety violation,Carrying inflammable material,Others,Carrying inflammable materialOthers,2022-02-10 00:00:00,2022-02-10,Approved By Site Head,
112,112,FAR,DTA,B-Zone,Physical Security,Security,Non Payment Issue,,,2022-02-10 00:00:00,2022-02-10,Approved By Site Head,
113,113,FAR,SEZ,D Zone,Physical Security,Safety violation,Prohibited Material,Tobacco,Prohibited MaterialTobacco,2022-02-10 00:00:00,2022-02-10,Approved By Site Head,
114,114,FAR,DTA,A-Zone,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2022-02-10 00:00:00,2022-02-10,Approved By Site Head,
115,115,FAR,MTF,MTF OSBL,Physical Security,Safety violation,Prohibited Material,Others,Prohibited MaterialOthers,2022-02-09 00:00:00,2022-02-09,Approved By Site Head,
116,116,FAR,MTF,MTF ISBL,Physical Security,Others,Emergency response,Others,Emergency responseOthers,2022-02-08 00:00:00,2022-02-08,Approved By Site Head,
117,117,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Safety violation,Prohibited Material,Others,Prohibited MaterialOthers,2022-02-08 00:00:00,2022-02-08,Approved By Site Head,
118,118,FAR,MTF,Haul Road,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-08 00:00:00,2022-02-08,Approved By Site Head,
119,119,FAR,MTF,MTF OSBL,Physical Security,Security,Access control related,Escape/ abscond,Access control relatedEscape/ abscond,2022-02-07 00:00:00,2022-02-07,Approved By Site Head,
120,120,FAR,MTF,MTF OSBL,Physical Security,Security,Theft,Reported,TheftReported,2022-02-07 00:00:00,2022-02-07,Approved By Site Head,
121,121,FAR,DTA,C-Zone,Physical Security,Security,Impersonation,Forged EP,ImpersonationForged EP,2022-02-07 00:00:00,2022-02-07,Approved By Site Head,
122,122,FAR,Off Site,Off Site,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2022-02-07 00:00:00,2022-02-07,Approved By Zone IC,
123,123,FAR,DTA,Reliance Green,Physical Security,Security,Impersonation,Others,ImpersonationOthers,07-FEB-2022,2022-02-07,Approved By Site Head,
124,124,FAR,DTA,Reliance Green,Physical Security,Security,Impersonation,Others,ImpersonationOthers,2022-02-07 00:00:00,2022-02-07,Approved By Site Head,
125,125,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Alcohol,Recovered,AlcoholRecovered,2022-02-07 00:00:00,2022-02-07,Approved By Site Head,
126,126,FAR,DTA,Reliance Green,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-06 00:00:00,2022-02-06,Approved By Site Head,
127,127,FAR,C2,C&Q,Physical Security,Others,Other Illness / Injury,,,2022-02-06 00:00:00,2022-02-06,Approved By Site Head,
128,128,FAR,C2,C2 Ops,Traffic,Traffic incident,Damaging property,,,2022-02-05 00:00:00,2022-02-05,Approved By Site Head,
129,129,FAR,DTA,B-Zone,Physical Security,Safety violation,Prohibited Material,Others,Prohibited MaterialOthers,2022-02-05 00:00:00,2022-02-05,Approved By Site Head,
130,130,FAR,SEZ,Material Zone,Physical Security,Safety violation,Carrying inflammable material,Ligter,Carrying inflammable materialLigter,2022-02-05 00:00:00,2022-02-05,Approved By Site Head,
131,131,FAR,Off Site,Off Site,Physical Security,Others,Emergency response,Fire,Emergency responseFire,2022-02-05 00:00:00,2022-02-05,Approved By Zone IC,
132,132,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2022-02-05 00:00:00,2022-02-05,Approved By Site Head,
133,133,FAR,DTA,Reliance Green,Physical Security,Security,Security Lapse,Others,Security LapseOthers,2022-02-05 00:00:00,2022-02-05,Approved By Site Head,
134,134,FAR,PCG,DTA PCG,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2022-02-05 00:00:00,2022-02-05,Approved By Site Head,
135,135,FAR,DTA,A-Zone,Physical Security,Others,Emergency response,Leakage / Spillage,Emergency responseLeakage / Spillage,2022-02-05 00:00:00,2022-02-05,Approved By Site Head,
136,136,FAR,DTA,A-Zone,Traffic,Traffic incident,Near miss,,,2022-02-04 00:00:00,2022-02-04,Approved By Site Head,
137,137,FAR,SEZ,D Zone,Physical Security,Safety violation,Smoking,,,2022-02-04 00:00:00,2022-02-04,Approved By Site Head,
138,138,FAR,DTA,Reliance Green,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-04 00:00:00,2022-02-04,Approved By Site Head,
139,139,FAR,DTA,A-Zone,Traffic,Traffic incident,Near miss,,,2022-02-04 00:00:00,2022-02-04,Approved By Site Head,
140,140,FAR,C2,IIR,Traffic,Traffic incident,Damaging property,,,2022-02-04 00:00:00,2022-02-04,Approved By Site Head,
141,141,FAR,DTA,C-Zone,Physical Security,Security,Access control related,Escape/ abscond,Access control relatedEscape/ abscond,2022-02-04 00:00:00,2022-02-04,Approved By Site Head,
142,142,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Theft,Prevented / Foiled / Thwarted,TheftPrevented / Foiled / Thwarted,2022-02-03 00:00:00,2022-02-03,Approved By Site Head,
143,143,FAR,Off Site,Off Site,Traffic,Traffic incident,Near miss,,,2022-02-03 00:00:00,2022-02-03,Approved By Site Head,
144,144,FAR,DTA,C-Zone,Physical Security,Security,Access control related,Escape/ abscond,Access control relatedEscape/ abscond,2022-02-03 00:00:00,2022-02-03,Approved By Site Head,
145,145,FAR,SEZ,Material Zone,Physical Security,Security,Access control related,Proxy Punching,Access control relatedProxy Punching,2022-02-03 00:00:00,2022-02-03,Approved By Site Head,
146,146,FAR,DTA,C-Zone,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-02-03 00:00:00,2022-02-03,Approved By Site Head,
147,147,FAR,DTA,B-Zone,Physical Security,Security,Theft,Attempt,TheftAttempt,2022-02-02 00:00:00,2022-02-02,Approved By Site Head,
148,148,FAR,PCG,DTA PCG,Automation,Security,Critical Equipment down/Offline,Others,Critical Equipment down/OfflineOthers,2022-02-02 00:00:00,2022-02-02,Approved By Site Head,
149,149,FAR,DTA,Reliance Green,Automation,Security,Critical Equipment down/Offline,Others,Critical Equipment down/OfflineOthers,2022-02-02 00:00:00,2022-02-02,Approved By Site Head,
150,150,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Access control related,Escape/ abscond,Access control relatedEscape/ abscond,2022-02-02 00:00:00,2022-02-02,Approved By Site Head,
151,151,FAR,DTA,A-Zone,Physical Security,Security,Pilferage,Liquid material,PilferageLiquid material,2022-02-02 00:00:00,2022-02-02,Approved By Site Head,
152,152,FAR,SEZ,Material Zone,Traffic,Traffic incident,Damaging property,,,2022-02-02 00:00:00,2022-02-02,Approved By Site Head,
153,153,FAR,Off Site,Off Site,Traffic,Traffic incident,Others,,,2022-02-02 00:00:00,2022-02-02,Approved By Site Head,
154,154,FAR,DTA,A-Zone,Physical Security,Security,Pilferage,Liquid material,PilferageLiquid material,2022-02-02 00:00:00,2022-02-02,Approved By Site Head,
155,155,FAR,DTA,B-Zone,Automation,Security,Damage to company property,Barrier,Damage to company propertyBarrier,2022-02-02 00:00:00,2022-02-02,Approved By Site Head,
156,156,FAR,DTA,C-Zone,Physical Security,Security,Access control related,Unauthorized Entry,Access control relatedUnauthorized Entry,2022-02-01 00:00:00,2022-02-01,Approved By Site Head,
157,157,FAR,DTA,A-Zone,Automation,Security,Damage to company property,Barrier,Damage to company propertyBarrier,2022-02-01 00:00:00,2022-02-01,Approved By Site Head,
158,158,FAR,DTA,Reliance Green,Traffic,Traffic incident,Damaging property,,,2022-02-01 00:00:00,2022-02-01,Approved By Site Head,
159,159,FAR,SEZ,D Zone,Traffic,Traffic violation,Driving w/o SDP/ Invalid SDP,,,2022-02-01 00:00:00,2022-02-01,Approved By Site Head,
160,160,FAR,SEZ,D Zone,Traffic,Traffic violation,Driving w/o SDP/ Invalid SDP,,,2022-02-01 00:00:00,2022-02-01,Approved By Site Head,
161,161,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Others,IR issue,Scuffle,IR issueScuffle,2022-02-01 00:00:00,2022-02-01,Approved By Site Head,
162,162,FAR,MTF,MTF ISBL,Physical Security,Security,Damage to company property,Other than SAS,Damage to company propertyOther than SAS,2022-01-31 00:00:00,2022-01-31,Approved By Site Head,
163,163,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Security,Access control related,Escape/ abscond,Access control relatedEscape/ abscond,2022-01-30 00:00:00,2022-01-31,Approved By Site Head,
164,164,FAR,DTA,C-Zone,Physical Security,Security,Special Observations / Night Round,Other Observations,Special Observations / Night RoundOther Observations,2022-01-30 00:00:00,2022-01-30,Approved By Site Head,
165,165,FAR,"KYA 6,7,8",KYA 6/7/8,Physical Security,Safety violation,Prohibited Material,Others,Prohibited MaterialOthers,2022-01-30 00:00:00,2022-01-30,Approved By Site Head,
166,166,FAR,C2,C&Q,Traffic,Traffic incident,Damaging property,,,2022-01-30 00:00:00,2022-01-30,Approved By Site Head,
167,167,FAR,DTA,Reliance Green,Physical Security,Security,Alcohol,Consumption,AlcoholConsumption,2022-01-30 00:00:00,2022-01-30,Approved By Site Head,
